Player,Tempo_23,Inj_23,total_pitches_empty,"last_name, first_name",pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed,st_avg_speed,sv_avg_speed
Brandon Williamson,14.085,0,214,"Williamson, Brandon",682227,92.8,94.5,89.3,83.5,84.0,73.1,,,81.6,
Buck Farmer,14.093,0,678,"Farmer, Buck",571656,93.9,90.8,,83.1,87.8,,,,,
Kevin Gausman,14.1,0,614,"Gausman, Kevin",592332,94.7,92.6,,84.0,,,86.3,,77.6,
Jon Gray,14.109,1,373,"Gray, Jon",592351,95.7,96.3,,88.0,88.8,78.2,,,83.3,
Braxton Garrett,14.111,0,259,"Garrett, Braxton",666129,90.8,90.5,87.5,82.8,84.1,77.7,,,,
Reid Detmers,14.121,0,440,"Detmers, Reid",672282,94.4,93.8,,88.9,84.8,74.7,,,83.5,
Lance Lynn,14.143,0,306,"Lynn, Lance",458681,92.4,91.4,88.7,,84.9,81.9,,,,
Kyle Bradish,14.147,0,336,"Bradish, Kyle",680694,94.5,94.6,,88.1,90.8,84.8,,,,
Logan Gilbert,14.15,0,253,"Gilbert, Logan",669302,95.7,94.2,,88.7,,80.3,85.6,,,
Dakota Hudson,14.163,0,660,"Hudson, Dakota",641712,91.1,91.6,,85.1,84.4,81.3,,,,
Marcus Stroman,14.167,0,383,"Stroman, Marcus",573186,92.0,91.4,89.7,86.1,,,86.6,,,84.6
Dylan Cease,14.18,0,408,"Cease, Dylan",656302,95.6,,,86.3,74.6,80.2,,,,
Jesús Luzardo,14.181,0,676,"Luzardo, Jesús",666200,96.7,96.5,91.4,85.1,88.3,,,,,
Charlie Morton,14.196,0,242,"Morton, Charlie",450203,94.9,94.2,89.1,,86.0,82.3,,,,
Eric Lauer,14.198,1,340,"Lauer, Eric",641778,90.8,90.4,86.7,82.6,82.8,75.3,,,,
Jhony Brito,14.221,0,841,"Brito, Jhony",666745,95.8,95.9,,86.3,88.8,80.4,,,82.4,
Patrick Corbin,14.221,0,274,"Corbin, Patrick",571578,91.7,92.1,,80.5,81.1,,,,,
Connor Seabold,14.226,0,386,"Seabold, Connor",657756,92.6,91.5,,85.3,80.6,78.7,,,,
Brady Singer,14.254,0,632,"Singer, Brady",663903,92.4,92.1,,84.0,87.7,,,,81.4,
Adrian Houser,14.261,1,224,"Houser, Adrian",605288,93.4,92.1,,82.3,84.3,79.4,,,,
Clayton Kershaw,14.263,1,458,"Kershaw, Clayton",477132,90.7,90.9,,86.5,84.7,73.4,84.3,,,
Noah Syndergaard,14.267,0,266,"Syndergaard, Noah",592789,92.2,92.3,89.5,85.0,87.3,77.9,87.7,,,
Tommy Henry,14.279,1,433,"Henry, Tommy",674072,90.7,89.5,,83.1,84.0,79.1,,,,
J.P. France,14.323,0,219,"France, J.P.",641585,93.1,91.1,86.9,,81.8,76.0,,,80.1,
Johan Oviedo,14.342,0,233,"Oviedo, Johan",670912,95.8,95.7,,88.2,88.2,81.0,,,,
Justin Verlander,14.372,1,230,"Verlander, Justin",434378,94.3,,,86.9,85.2,78.2,,,,
Nathan Eovaldi,14.372,1,228,"Eovaldi, Nathan",543135,95.1,95.2,90.6,83.9,,76.0,87.9,,,
Michael Kopech,14.373,1,183,"Kopech, Michael",656629,95.2,,88.9,84.8,88.7,80.7,,,,
