year,player,player_key,tempo_seconds_empty,pitches_empty,injury,source_records,in_velocity_merge,player_id,primary_velocity_mph
2022,Edwin Díaz,edwin díaz,17.393,373,0,1,1,621242,99.1
2022,Brad Boxberger,brad boxberger,17.407,523,0,1,1,502202,92.7
2022,Mike Mayers,mike mayers,17.417,398,0,1,1,594577,93.5
2022,Tyler Anderson,tyler anderson,17.418,1071,0,1,1,542881,90.7
2022,Madison Bumgarner,madison bumgarner,17.441,1227,0,1,1,518516,91.2
2022,Aaron Civale,aaron civale,17.45,737,1,1,1,650644,90.8
2022,Chris Flexen,chris flexen,17.467,944,0,1,1,623167,91.7
2022,Joe Jiménez,joe jiménez,17.494,379,0,1,1,641729,95.7
2022,Tim Mayza,tim mayza,17.525,345,0,1,0,,
2022,Carlos Estévez,carlos estévez,17.559,448,0,1,1,608032,97.5
2022,Garrett Hill,garrett hill,17.588,467,0,1,1,682051,92.0
2022,Trevor Richards,trevor richards,17.595,543,0,1,1,670950,93.4
2022,Gerrit Cole,gerrit cole,17.599,1477,0,1,1,543037,97.8
2022,Michael Rucker,michael rucker,17.605,411,0,1,1,621074,94.7
2022,Jose Quintana,jose quintana,17.632,1234,0,1,1,500779,91.2
2022,Freddy Peralta,freddy peralta,17.632,660,0,1,1,642547,92.6
2022,Drew Hutchison,drew hutchison,17.643,764,0,1,1,571800,92.4
2022,Kris Bubic,kris bubic,17.647,1040,0,1,1,663460,91.9
2022,Zach Logue,zach logue,17.652,477,0,1,1,656657,90.1
2022,Zack Greinke,zack greinke,17.661,1056,1,1,1,425844,89.2
2022,Sonny Gray,sonny gray,17.667,884,0,1,1,543243,92.1
2022,Carlos Carrasco,carlos carrasco,17.695,1024,1,1,1,471911,93.2
2022,Nick Martinez,nick martinez,17.727,761,0,1,1,607259,93.4
2022,Humberto Castellanos,humberto castellanos,17.749,357,0,1,0,,
2022,Framber Valdez,framber valdez,17.758,1356,0,1,1,664285,94.1
2022,Nathan Eovaldi,nathan eovaldi,17.767,742,0,1,1,543135,95.7
2022,Aaron Sanchez,aaron sanchez,17.81,460,0,1,1,592717,92.4
2022,Brandon Hughes,brandon hughes,17.81,401,0,1,1,676714,93.2
2022,Mark Leiter Jr.,mark leiter jr.,17.845,503,0,1,1,643410,91.1
2022,Adam Cimber,adam cimber,17.875,469,0,1,1,643256,86.5
2022,Albert Abreu,albert abreu,17.937,325,1,1,0,,
2022,Alex Lange,alex lange,17.939,457,0,1,1,656638,95.5
2022,Chris Bassitt,chris bassitt,17.943,1377,1,1,1,605135,93.2
2022,Max Fried,max fried,18.031,1265,1,1,1,608331,94.0
2022,Jake Bird,jake bird,18.046,371,0,1,0,,
2022,Adrian Sampson,adrian sampson,18.08,776,1,1,1,592716,92.5
2022,Bruce Zimmermann,bruce zimmermann,18.105,493,0,1,1,669145,90.6
2022,James Kaprielian,james kaprielian,18.114,1016,1,1,1,621076,94.0
2022,Jimmy Herget,jimmy herget,18.136,483,1,1,1,623474,91.5
2022,Drew Smith,drew smith,18.149,354,0,1,0,,
2022,Caleb Smith,caleb smith,18.152,550,0,1,1,592761,91.9
2022,Martín Pérez,martín pérez,18.191,1408,0,1,1,527048,92.9
2022,Bryan Shaw,bryan shaw,18.194,439,0,1,1,543766,94.0
2022,Kirby Snead,kirby snead,18.23,370,0,1,0,,
2022,Robert Suarez,robert suarez,18.23,354,0,1,0,,
2022,Sam Hentges,sam hentges,18.246,403,1,1,1,656529,95.9
2022,Rowan Wick,rowan wick,18.249,484,0,1,1,592858,94.9
2022,Tyler Alexander,tyler alexander,18.269,700,1,1,1,641302,90.0
2022,Brooks Raley,brooks raley,18.325,403,0,1,1,548384,90.3
2022,Joel Payamps,joel payamps,18.353,434,0,1,1,606303,94.8
2022,Ryan Yarbrough,ryan yarbrough,18.361,593,1,1,1,642232,86.7
2022,Kyle Bradish,kyle bradish,18.363,911,1,1,1,680694,94.6
2022,Lucas Gilbreath,lucas gilbreath,18.367,384,1,1,0,,
2022,Tony Gonsolin,tony gonsolin,18.395,867,1,1,1,664062,93.1
2022,Wily Peralta,wily peralta,18.402,333,0,1,0,,
2022,Steven Okert,steven okert,18.405,456,0,1,1,595345,93.7
2022,Graham Ashcraft,graham ashcraft,18.415,774,0,1,1,668933,98.1
2022,Dylan Cease,dylan cease,18.427,1371,0,1,1,656302,96.8
2022,Joely Rodríguez,joely rodríguez,18.442,409,0,1,1,570257,92.8
2022,Robbie Ray,robbie ray,18.49,1275,0,1,1,592662,93.4
2022,Beau Brieske,beau brieske,18.538,541,1,1,1,689225,94.3
2022,Jon Gray,jon gray,18.548,907,0,1,1,592351,95.9
2022,Daniel Norris,daniel norris,18.557,488,0,1,1,596057,91.2
2022,Cristian Javier,cristian javier,18.599,1131,0,1,1,664299,93.8
2022,Aaron Loup,aaron loup,18.617,424,0,1,1,571901,91.9
2022,Frankie Montas,frankie montas,18.652,957,0,1,1,593423,96.1
2022,MacKenzie Gore,mackenzie gore,18.652,572,1,1,1,669022,94.7
2022,Brock Burke,brock burke,18.661,618,0,1,1,656271,95.1
2022,A.J. Puk,a.j. puk,18.683,472,0,1,1,640462,96.7
2022,Justin Lawrence,justin lawrence,18.685,379,0,1,0,,
2022,Jordan Hicks,jordan hicks,18.691,514,1,1,1,663855,99.0
2022,Carlos Hernández,carlos hernández,18.704,462,0,1,1,672578,96.8
2022,Jalen Beeks,jalen beeks,18.718,435,0,1,1,656222,95.0
2022,Tommy Henry,tommy henry,18.758,342,0,1,0,,
2022,Davis Martin,davis martin,18.79,442,0,1,1,663436,94.0
2022,Pablo López,pablo lópez,18.794,1286,0,1,1,641154,93.6
2022,Joe Mantiply,joe mantiply,18.811,366,0,1,1,573009,90.9
2022,Luis Cessa,luis cessa,18.884,571,0,1,1,570666,93.3
2022,Carlos Rodón,carlos rodón,18.922,1298,0,1,1,607074,95.5
2022,Dylan Coleman,dylan coleman,18.98,560,0,1,1,669395,97.6
2022,Will Vest,will vest,18.997,461,0,1,1,676684,95.1
2022,Mike Clevinger,mike clevinger,19.012,840,1,1,1,605182,93.6
2022,Blake Snell,blake snell,19.018,1025,0,1,1,605483,95.8
2022,Jimmy Lambert,jimmy lambert,19.042,344,0,1,1,669424,94.3
2022,Corey Knebel,corey knebel,19.056,365,0,1,0,,
2022,Gregory Soto,gregory soto,19.118,491,0,1,1,642397,98.7
2022,Taylor Hearn,taylor hearn,19.125,806,0,1,1,621368,94.8
2022,Patrick Sandoval,patrick sandoval,19.145,1100,0,1,1,663776,93.1
2022,Yunior Marte,yunior marte,19.145,379,0,1,1,628708,97.8
2022,Jake Odorizzi,jake odorizzi,19.158,794,1,1,1,543606,92.1
2022,Noah Syndergaard,noah syndergaard,19.173,876,0,1,1,592789,94.1
2022,Matt Bush,matt bush,19.177,417,1,1,1,456713,97.3
2022,Carl Edwards Jr.,carl edwards jr.,19.196,451,0,1,1,605218,94.6
2022,Lou Trivino,lou trivino,19.227,434,0,1,1,642152,95.6
2022,Andre Pallante,andre pallante,19.249,828,0,1,1,669467,95.2
2022,Mitch White,mitch white,19.332,745,1,1,1,669952,93.7
2022,Lance Lynn,lance lynn,19.336,883,0,1,1,458681,93.0
2022,Héctor Neris,héctor neris,19.348,427,0,1,1,593576,94.3
2022,Nick Nelson,nick nelson,19.391,509,0,1,1,656793,96.3
2022,Matt Festa,matt festa,19.408,396,1,1,1,670036,92.6
2022,Erik Swanson,erik swanson,19.436,361,0,1,1,657024,93.6
2022,Glenn Otto,glenn otto,19.452,994,1,1,0,,
2022,Andrés Machado,andrés machado,19.574,434,0,1,1,600921,95.6
2022,Jason Foley,jason foley,19.574,402,0,1,1,671345,96.2
2022,Jeffrey Springs,jeffrey springs,19.623,968,1,1,1,605488,91.4
2022,Ron Marinaccio,ron marinaccio,19.624,352,0,1,0,,
2022,Andrew Chafin,andrew chafin,19.662,377,0,1,1,605177,91.6
2022,Josiah Gray,josiah gray,19.673,1233,0,1,1,680686,94.4
2022,Drew Rasmussen,drew rasmussen,19.676,919,0,1,1,656876,95.5
2022,Tyler Wells,tyler wells,19.683,703,1,1,1,669330,93.5
2022,Dylan Floro,dylan floro,19.697,375,1,1,1,571670,92.4
2022,José Leclerc,josé leclerc,19.712,340,0,1,0,,
2022,Bailey Falter,bailey falter,19.716,572,1,1,1,663559,91.5
2022,Bryan Baker,bryan baker,19.717,558,0,1,1,641329,96.2
2022,Seranthony Domínguez,seranthony domínguez,19.717,371,0,1,1,622554,97.7
2022,Kendall Graveman,kendall graveman,19.722,468,0,1,1,608665,96.6
2022,Penn Murfee,penn murfee,19.745,448,0,1,1,682171,89.0
2022,Brandon Woodruff,brandon woodruff,19.756,1128,0,1,1,605540,96.3
2022,Jarlín García,jarlín garcía,19.766,445,0,1,1,606424,93.6
2022,Lucas Luetge,lucas luetge,19.796,449,0,1,1,476595,87.5
2022,Zach Thompson,zach thompson,19.819,982,1,1,1,605507,92.3
2022,Matt Moore,matt moore,19.883,500,0,1,1,519043,93.9
2022,Kyle Gibson,kyle gibson,19.888,1231,0,1,1,502043,92.0
2022,Yusei Kikuchi,yusei kikuchi,19.896,810,0,1,1,579328,94.9
2022,Julio Urías,julio urías,19.9,1109,0,1,1,628711,93.1
2022,Scott Effross,scott effross,19.903,387,1,1,1,664123,90.8
2022,Adrián Martínez,adrián martínez,19.913,454,0,1,0,,
2022,Joey Krehbiel,joey krehbiel,19.93,458,0,1,1,607216,94.4
2022,Tanner Scott,tanner scott,19.96,568,0,1,1,656945,96.9
2022,Ryan Brasier,ryan brasier,19.98,388,0,1,1,518489,95.9
2022,Rafael Montero,rafael montero,19.997,518,0,1,1,606160,96.4
2022,Griffin Jax,griffin jax,20.084,502,0,1,1,643377,95.4
2022,Buck Farmer,buck farmer,20.099,376,0,1,1,571656,94.6
2022,Hirokazu Sawamura,hirokazu sawamura,20.105,361,0,1,1,617228,95.9
2022,Diego Castillo,diego castillo,20.107,364,1,1,1,650895,95.7
2022,Aaron Nola,aaron nola,20.119,1328,0,1,1,605400,92.8
2022,Duane Underwood Jr.,duane underwood jr.,20.119,412,0,1,1,621249,95.9
2022,Will Smith,will smith,20.128,401,0,1,1,519293,92.1
2022,Justin Verlander,justin verlander,20.144,1044,1,1,1,434378,95.0
2022,Félix Bautista,félix bautista,20.165,416,0,1,1,642585,99.7
2022,Vince Velasquez,vince velasquez,20.185,579,0,1,1,592826,93.2
2022,Chris Archer,chris archer,20.227,872,0,1,1,502042,93.0
2022,Phil Maton,phil maton,20.247,500,0,1,1,664208,91.0
2022,Tanner Houck,tanner houck,20.299,419,0,1,1,656557,95.3
2022,Kevin Gausman,kevin gausman,20.331,1031,0,1,1,592332,95.0
2022,Matt Wisler,matt wisler,20.342,343,0,1,0,,
2022,Chris Stratton,chris stratton,20.353,482,0,1,1,608717,92.8
2022,Jordan Montgomery,jordan montgomery,20.368,1174,0,1,1,656756,93.0
2022,Anthony Bass,anthony bass,20.431,430,0,1,1,542914,95.0
2022,Trevor Stephan,trevor stephan,20.436,438,0,1,1,663986,96.5
2022,Yimi García,yimi garcía,20.446,493,0,1,1,554340,94.9
2022,Colin Poche,colin poche,20.468,406,0,1,1,621363,93.2
2022,Jordan Romano,jordan romano,20.521,416,0,1,1,605447,96.9
2022,David Bednar,david bednar,20.531,367,1,1,1,670280,96.4
2022,Mark Melancon,mark melancon,20.558,402,0,1,1,453343,91.7
2022,Zach Jackson,zach jackson,20.603,436,1,1,1,667427,94.4
2022,Jorge López,jorge lópez,20.608,510,0,1,1,605347,97.2
2022,Matt Strahm,matt strahm,20.62,340,0,1,0,,
2022,Caleb Thielbar,caleb thielbar,20.632,389,0,1,1,573204,92.8
2022,José Ruiz,josé ruiz,20.647,509,0,1,1,614179,96.9
2022,Evan Phillips,evan phillips,20.653,433,0,1,1,623465,96.0
2022,Tyler Beede,tyler beede,20.657,505,0,1,1,595881,95.8
2022,Lucas Giolito,lucas giolito,20.683,1227,0,1,1,608337,92.6
2022,Alek Manoah,alek manoah,20.7,1280,0,1,1,666201,93.9
2022,Tommy Nance,tommy nance,20.707,341,0,1,0,,
2022,John Schreiber,john schreiber,20.716,493,0,1,1,670167,94.4
2022,Enyel De Los Santos,enyel de los santos,20.774,348,0,1,1,660853,95.3
2022,Austin Voth,austin voth,20.778,795,0,1,1,608723,93.5
2022,Scott Barlow,scott barlow,20.846,550,0,1,1,605130,93.6
2022,Génesis Cabrera,génesis cabrera,20.862,326,0,1,0,,
2022,Chase De Jong,chase de jong,20.88,561,1,1,1,608328,92.8
2022,Paul Blackburn,paul blackburn,20.881,862,0,1,1,621112,91.5
2022,Yu Darvish,yu darvish,20.938,1305,0,1,1,506433,95.0
2022,Robert Stephenson,robert stephenson,20.987,364,0,1,1,596112,96.8
2022,Ian Kennedy,ian kennedy,21.031,376,0,1,1,453178,93.4
2022,Shawn Armstrong,shawn armstrong,21.066,427,0,1,1,542888,95.3
2022,Corbin Burnes,corbin burnes,21.088,1506,0,1,1,669203,96.4
2022,Jeff Hoffman,jeff hoffman,21.103,381,1,1,1,656546,94.3
2022,JP Sears,jp sears,21.133,517,0,1,1,676664,93.2
2022,Michael Kopech,michael kopech,21.135,942,0,1,1,656629,94.9
