year,month,month_label,period,plate_appearances,at_bats,hits,home_runs,walks,strikeouts,avg_reported,avg_calculated,adjusted_avg,credible_interval_lower,credible_interval_upper,reliability_weight,adjustment,absolute_adjustment,on_base_percentage,slugging_percentage,on_base_plus_slugging
2017,10,10월,2017-10-01,10,7,1,0,2,2,0.143,0.14285714285714285,0.2963599016735697,0.1861926884430813,0.42005831741679484,0.12280701754385964,0.15350275881642683,0.15350275881642683,0.3,0.286,0.586
2018,3,3월,2018-03-01,32,31,6,0,1,8,0.194,0.1935483870967742,0.27027795549868483,0.17989063749671025,0.37140575226831896,0.38271604938271603,0.07672956840191064,0.07672956840191064,0.219,0.226,0.445
2018,4,4월,2018-04-01,17,16,4,0,1,5,0.25,0.25,0.3014017332635375,0.19769424496114657,0.416507463150203,0.24242424242424243,0.051401733263537475,0.051401733263537475,0.294,0.25,0.544
2018,5,5월,2018-05-01,77,67,28,1,9,9,0.418,0.417910447761194,0.37514969568712375,0.28999194806851136,0.4643513546453345,0.5726495726495726,-0.04276075207407026,0.04276075207407026,0.481,0.597,1.078
2018,6,6월,2018-06-01,113,102,32,2,9,22,0.314,0.3137254901960784,0.3150823315486413,0.2439074748646363,0.39086647097809757,0.6710526315789473,0.0013568413525628653,0.0013568413525628653,0.381,0.441,0.822
2018,7,7월,2018-07-01,99,91,30,4,7,22,0.33,0.32967032967032966,0.3254788254992445,0.2509006774455067,0.40474667622529537,0.6453900709219859,-0.004191504171085159,0.004191504171085159,0.384,0.56,0.944
2018,8,8월,2018-08-01,62,55,23,6,4,14,0.418,0.41818181818181815,0.3704048990037474,0.28102195942854735,0.4644651908808649,0.5238095238095238,-0.047776919178070754,0.047776919178070754,0.468,0.818,1.286
2018,9,9월,2018-09-01,110,100,29,6,9,27,0.29,0.29,0.2992834293026232,0.2289125969638183,0.37472372181941516,0.6666666666666666,0.009283429302623214,0.009283429302623214,0.349,0.52,0.869
2018,10,10월,2018-10-01,19,16,7,1,3,3,0.438,0.4375,0.34685627871808294,0.2377192766809224,0.4647861295640119,0.24242424242424243,-0.09064372128191706,0.09064372128191706,0.526,0.688,1.214
2019,3,3월,2019-03-01,38,35,11,1,1,8,0.314,0.3142857142857143,0.31638252229874675,0.22249557316050342,0.41845383309341677,0.4117647058823529,0.0020968080130324696,0.0020968080130324696,0.368,0.514,0.882
2019,4,4월,2019-04-01,96,86,24,2,8,16,0.279,0.27906976744186046,0.2933273117308344,0.2201273120327162,0.37228432601142025,0.6323529411764706,0.014257544288973911,0.014257544288973911,0.344,0.465,0.809
2019,5,5월,2019-05-01,106,95,27,3,9,14,0.284,0.28421052631578947,0.2958104441061619,0.2245896890189016,0.37236610865636305,0.6551724137931034,0.01159991779037245,0.01159991779037245,0.349,0.453,0.802
2019,6,6월,2019-06-01,109,97,28,5,8,23,0.289,0.28865979381443296,0.2985885333019964,0.22759535733232858,0.3747725126227783,0.6598639455782312,0.009928739487563454,0.009928739487563454,0.349,0.495,0.844
2019,7,7월,2019-07-01,28,27,6,0,1,3,0.222,0.2222222222222222,0.2843183687713438,0.18989909395843887,0.3893468239163302,0.35064935064935066,0.0620961465491216,0.0620961465491216,0.25,0.333,0.583
2019,8,8월,2019-08-01,61,53,13,1,6,6,0.245,0.24528301886792453,0.28050984849896576,0.19845353691966364,0.37063795991913456,0.5145631067961165,0.035226829631041234,0.035226829631041234,0.328,0.453,0.781
2019,9,9월,2019-09-01,88,82,18,3,5,18,0.22,0.21951219512195122,0.2567614726923748,0.18618933022580142,0.33431285986451653,0.6212121212121212,0.037249277570423595,0.037249277570423595,0.261,0.354,0.615
2020,5,5월,2020-05-01,43,36,13,1,5,6,0.361,0.3611111111111111,0.3359594697138776,0.2406204059550326,0.4385261743073888,0.4186046511627907,-0.025151641397233526,0.025151641397233526,0.442,0.556,0.998
2020,6,6월,2020-06-01,82,75,22,4,4,15,0.293,0.29333333333333333,0.3031401151631478,0.2260492431552829,0.3861974766534518,0.6,0.009806781829814482,0.009806781829814482,0.341,0.533,0.874
2020,7,7월,2020-07-01,85,75,29,2,9,19,0.387,0.38666666666666666,0.3591401151631478,0.27767104595027736,0.44487939353261546,0.6,-0.027526551503518848,0.027526551503518848,0.459,0.52,0.979
2020,8,8월,2020-08-01,102,87,21,1,13,19,0.241,0.2413793103448276,0.269288426243748,0.1986338401084692,0.34632185367143803,0.635036496350365,0.027909115898920395,0.027909115898920395,0.343,0.287,0.63
2020,9,9월,2020-09-01,106,94,29,3,10,18,0.309,0.30851063829787234,0.3117535721902325,0.23897691894431147,0.38948309279810633,0.6527777777777778,0.0032429338923601336,0.0032429338923601336,0.381,0.479,0.86
2020,10,10월,2020-10-01,92,79,23,4,10,14,0.291,0.2911392405063291,0.301492359654213,0.22569164011516463,0.38312291966532636,0.6124031007751938,0.010353119147883894,0.010353119147883894,0.38,0.557,0.937
2021,4,4월,2021-04-01,106,89,30,4,14,19,0.337,0.33707865168539325,0.33016197406757897,0.25472275601780053,0.4102308009389049,0.6402877697841727,-0.006916677617814282,0.006916677617814282,0.425,0.573,0.998
2021,5,5월,2021-05-01,104,92,23,1,9,12,0.25,0.25,0.2738909464464329,0.2039705298979384,0.34984304918896447,0.647887323943662,0.023890946446432915,0.023890946446432915,0.308,0.38,0.688
2021,6,6월,2021-06-01,95,88,26,5,4,16,0.295,0.29545454545454547,0.30356894489415565,0.22998082521323593,0.38254977259029915,0.6376811594202898,0.008114399439610176,0.008114399439610176,0.326,0.523,0.849
2021,7,7월,2021-07-01,31,27,4,1,3,8,0.148,0.14814814814814814,0.2583443427973178,0.16754937522518268,0.36102255846894743,0.35064935064935066,0.11019619464916969,0.11019619464916969,0.233,0.259,0.492
2021,8,8월,2021-08-01,78,68,22,2,5,11,0.324,0.3235294117647059,0.3211230033507922,0.24029401952981902,0.4076955573727831,0.576271186440678,-0.0024064084139137076,0.0024064084139137076,0.397,0.529,0.926
2021,9,9월,2021-09-01,109,99,36,7,7,20,0.364,0.36363636363636365,0.34827190869391594,0.27408633315605796,0.4263160620400802,0.6644295302013423,-0.015364454942447703,0.015364454942447703,0.394,0.657,1.051
2021,10,10월,2021-10-01,87,80,25,2,6,12,0.313,0.3125,0.3145578030414883,0.23790986931870176,0.3966103175091402,0.6153846153846154,0.002057803041488282,0.002057803041488282,0.356,0.525,0.881
2022,4,4월,2022-04-01,76,70,16,0,3,16,0.229,0.22857142857142856,0.2657709532949456,0.19096249986229094,0.3479724682295642,0.5833333333333334,0.037199524723517036,0.037199524723517036,0.289,0.3,0.589
2022,5,5월,2022-05-01,53,51,17,1,2,12,0.333,0.3333333333333333,0.32566845936033145,0.23823121991901097,0.4196456350343764,0.504950495049505,-0.007664873973001862,0.007664873973001862,0.358,0.431,0.789
